name,partOfSpeech,definition,etymology,tags,synonym,notes,
assiduous,adjective,: marked by careful unremitting attention or persistent application <an assiduous book collector> <tended her garden with assiduous attention>,,,,,
astringent,adjective,"1: causing contraction of soft organic tissues : styptic, puckery <astringent lotions> <an astringent fruit>  2: suggestive of an astringent effect upon tissue : rigidly severe : austere <dry astringent comments>; also : pungent, caustic",,,,,
asunder,adverb,1: into parts <torn asunder>   2: apart from each other in position <wide asunder>  ,,,<apart>,,
atavism,noun,"1(a): recurrence in an organism of a trait or character typical of an ancestral form and usually due to genetic recombination (b): recurrence of or reversion to a past style, manner, outlook, approach, or activity <architectural atavism>  2: one that manifests atavism: throwback",,,,,
atavistic,adjective,,,,,,
atone,verb,transitive verb  1: obsolete : reconcile  2: to supply satisfaction for : expiateintransitive verb: to make amends <atone for sins>,,,,,
attenuate,verb,"1: reduced especially in thickness, density, or force   2: tapering gradually usually to a long slender point <attenuate leaves>  ",,,,,
attributively,adverb, 2: joined directly to a modified noun without a linking verb (as city in city streets)  ,,(literary),,"Good to remember...  When a noun is used as an adjective, you can say the noun is used attributively",
attrition,noun,"1: [Middle English attricioun, from Medieval Latin attrition-, attritio, from Latin]: sorrow for one's sins that arises from a motive other than that of the love of God.  2: the act of rubbing together: friction; also: the act of wearing or grinding down by friction.  3: the act of weakening or exhausting by constant harassment, abuse, or attack <a war of attrition>.  4: a reduction in numbers usually as a result of resignation, retirement, or death <a company with a high rate of attrition>",,,,,
audacity,noun,1: the quality or state of being audacious: as a: intrepid boldness (b): bold or arrogant disregard of normal restraints <had the audacity to defy his boss> 2: an audacious act —usually used in plural <her worst audacities did not seem to surprise him — Edith Wharton>,,,,,
auspice,noun,1: observation by an augur especially of the flight and feeding of birds to discover omens.  2: plural: kindly patronage and guidance <doing research under the auspices of the local historical society>  3: a prophetic sign; especially: a favorable sign,,,,,
auspicious,adjective,,,,,,
austere,adjective,"1(a): stern and cold in appearance or manner (b): somber, grave <an austere critic>  2: morally strict : ascetic  3: markedly simple or unadorned <an austere office> <an austere style of writing>  4: giving little or no scope for pleasure <austere diets>  5: of a wine : having the flavor of acid or tannin predominant over fruit flavors usually indicating a capacity for aging",,,,,
avant la lettre,,: before the letter : before a (specified) name or entity existed,[French],,,,
avant-garde,noun,: an intelligentsia that develops new or experimental concepts especially in the arts,[French],,,,
avarice,noun,": excessive or insatiable desire for wealth or gain : greediness, cupidity  ",,,<greedy>,,
avatar,noun,1: the incarnation of a Hindu deity (as Vishnu)  2(a): an incarnation in human form (b): an embodiment (as of a concept or philosophy) often in a person  3: a variant phase or version of a continuing basic entity  4: an electronic image that represents and is manipulated by a computer user (as in a computer game),[Sanskrit],,,,
awry,adjective ,1: in a turned or twisted position or direction : askew   2: off the correct or expected course : amiss  ,,,,,
axiom,noun,1: a maxim widely accepted on its intrinsic merit   2: a statement accepted as true as the basis for argument or inference : postulate   3: an established rule or principle or a self-evident truth  ,,,,,
babushka,noun,1(a): a usually triangularly folded kerchief for the head  (b): a head covering (as a scarf) resembling a babushka  2: an elderly Russian woman,[Russian],,<head covering>,,
balk,noun,"1: a ridge of land left unplowed as a dividing line or through carelessness.  2: beam, rafter.  3: hindrance, check.  4(a): the space behind the balkline on a billiard table. b: any of the outside divisions made by the balklines.  5: failure of a player to complete a motion; especially: an illegal motion of the pitcher in baseball while in position.",,,,,
balk,verb,,,,,,
ballyhoo,,,,,,,
balter,verb,obsolete : to dance clumsily,,(obscure),<dance>,Couldn't find entry for this.  Heard it on Way with Words,
banal,adjective,": lacking originality, freshness, or novelty: trite",,,<insipid>,"banal stresses the complete absence of freshness, novelty, or immediacy <a banal tale of unrequited love>",
banality,noun,1: something banal: commonplace.   2: the quality or state of being banal.  ,,,,,
bandy,verb,2(a): to toss from side to side or pass about from one to another often in a careless or inappropriate manner (b): exchange  ; especially : to exchange (words) argumentatively (c): to discuss lightly or banteringly d: to use in a glib or offhand manner —often used with about<bandy these statistics about with considerable bravado — Richard Pollak>,,,,,
bard,noun,"1(a): a tribal poet-singer skilled in composing and reciting verses on heroes and their deeds. (b): a composer, singer, or declaimer of epic or heroic verse.  2: poet",,(literary),,,
bastinado,noun,"1: a blow with a stick or cudgel  2(a): a beating especially with a stick (b): a punishment consisting of beating the soles of the feet with a stick  3: stick, cudgel",,,<hit>,,
bathos,noun,1(a): the sudden appearance of the commonplace in otherwise elevated matter or style (b): anticlimax  2: exceptional commonplaceness : triteness  3: insincere or overdone pathos : sentimentalism,,,,,
batrachian,adjective,": amphibian  especially : frog, toad",,,,,
bazoongas,noun,": female breasts, especially large female breasts",,(my slang),,,
beaut,noun,: beauty,,(slang),,,
beeline,noun,: a straight direct course,,,,,
befuddled,adjective,"1: to muddle or stupefy with or as if with drink   2: confuse , perplex  ",,,,,
begrudge,verb,1: to give or concede reluctantly or with displeasure <begrudge money> <begrudged the weeks spent away from home>   2: to look upon with disapproval <begrudge their rivals' success>  ,,,,,
behest,noun,1: an authoritative order : command   2: an urgent prompting <called at the behest of my friends>  ,,,<command>,,
beleaguer,verb,"1: besiege   2: trouble  , harass <beleaguered parents> <an economically beleaguered city>  ",,,<harass>,,
belittle,verb,1: to speak slightingly of : disparage <belittles her efforts>   2: to cause (a person or thing) to seem little or less,,,<decry>,belittle usually suggests a contemptuous or envious attitude <belittled the achievements of others>,
belle epoque,noun,often capitalized: a period of high artistic or cultural development; especially: such a period in fin de siècle France,[French],,,,
bellicose,adjective,: favoring or inclined to start quarrels or wars,,,<hostile>,,
benighted,adjective,"1: overtaken by darkness or night   2: existing in a state of intellectual, moral, or social darkness : unenlightened",,,<unenlightened>,,
bent,,,,,,,
bequeth,verb,1: to give or leave by will —used especially of personal property   2: to hand down : transmit  ,,,<give>,,
bereft,adjective,"1(a): deprived or robbed of the possession or use of something —usually used with of <both players are instantly bereft of their poise — A. E. Wier> (b): lacking something needed, wanted, or expected —used with of <the book is…completely bereft of an index — Times Literary Supplement>  2: bereaved <a bereft mother>",,,,,
berth,noun,"4(a): a billet on a ship b: job  , position  , place <a starting berth on the team>",,,,,
beseech,verb,transitive verb  1: to beg for urgently or anxiously   2: to request earnestly : implore   intransitive verb   : to make supplication,,,<ask>,,
bifurcate,verb,transitive verb: to cause to divide into two branches or parts.   intransitive verb: to divide into two branches or parts  ,,,<split>,,
bird farm,noun,: airport,,(slang),,Way with Words (I for one welcome our robot overlords: 33:40).  Undercover cop lingo.,
blanched,adjective,"transitive verb: to take the color out of: as (a): to bleach by excluding light (b): to scald or parboil in water or steam in order to remove the skin from, whiten, or stop enzymatic action in (as food for freezing) (c): to make ashen or pale <fear blanches the cheek> intransitive verb: to become white or pale",,,,,
blasé,adjective,"1: apathetic to pleasure or excitement as a result of excessive indulgence or enjoyment: world-weary.   2: sophisticated, worldly-wise.   3: unconcerned.",[French],,<sophisticated>,,
bleary,adjective,1: of the eyes or vision : dull or dimmed especially from fatigue or sleep  2: poorly outlined or defined : dim <a bleary view>  3: very tired <bleary travelers>,,,,blasé implies a lack of responsiveness to common joys as a result of a real or affected surfeit of experience and cultivation <blasé travelers who claimed to have been everywhere>.,
bleary-eyed,adjective,,,,,,
bleat,verb,1(a): to make the natural cry of a sheep or goat; also : to utter a similar sound (b): whimper  2(a): to talk complainingly or with a whine (b): blather,,,<cry>,,
bliss,noun,"1: complete happiness   2: paradise, heaven  ",,,,,
blissful,adjective,,,,,,
blithe,adjective,"1: of a happy lighthearted character or disposition.   2: lacking due thought or consideration: casual, heedless <blithe unconcern>",,,<merry>,"blithe suggests carefree, innocent, or even heedless gaiety <arrived late in his usual blithe way>",
blotto,noun,: drunk,,(slang),<intoxicated>,On Way with Words,Link here
blowhard,,,,,,,
Bluebeard,noun,often capitalized: a man who marries and kills one wife after another,,(eponym),,a fairy-tale character,
bodhisattva,noun,: a being that compassionately refrains from entering nirvana in order to save others and is worshipped as a deity in Mahayana Buddhism,[Buddhism],(spirituality),,Sanskrit for one whose essence is enlightenment; from bodhi: enlightenment + sattva: being,
bon vivant,noun,": a person having cultivated, refined, and sociable tastes especially with respect to food and drink",[French],,,"French, literally good liver",
boondoggle,noun,"1: a braided cord worn by Boy Scouts as a neckerchief slide, hatband, or ornament.   2: a wasteful or impractical project or activity often involving graft.  ",,,,,
bowdlerize,verb,,,(literary),,,
brackish,,,,,,,
braggadocio,noun,1: braggart.  2(a): empty boasting (b): arrogant pretension: cockiness.,,(eponym),,"After Braggadocchio, boastful character in Edmund Spenser's Faerie Queen (1590), apparenty a pseudo-Italian coinage.",
brandish,verb,1  : to shake or wave (as a weapon) menacingly   2  : to exhibit in an ostentatious or aggressive manner,,,,,
brass tacks,noun,: details of immediate practical importance —usually used in the phrase get down to brass tacks  ,,,,,
bravado,noun,1 a: blustering swaggering conduct b: a pretense of bravery2: the quality or state of being foolhardy,,,,,
brazen,adjective,1: made of brass2 a: sounding harsh and loud like struck brass b: of the color of polished brass3: marked by contemptuous boldness <a brazen disregard for the rules>,,,,,
Brigadoon,noun,": a place that is idyllic, unaffected by time, or remote from reality",[eponym],,,"DYK? In the musical, Brigadoon is a Scottish village protected from the outside world by a magic spell from which the village awakens every hundred years; love bridges the gap when a lonely 20th-century boy meets a beautiful 18th-century girl. In the past few decades, the word ""Brigadoon"" has often been applied to places that resemble the fictional village, that is, places that are old-fashioned, idyllic, or out of touch with reality.",
bristle,verb,transitive verb1: to furnish with bristles2: to make bristly : ruffleintransitive verb1 a: to rise and stand stiffly erect <quills bristling> b: to raise the bristles (as in anger)2: to take on an aggressively defensive attitude (as in response to a slight or criticism) <he bristled at the accusations of corruption>3 a: to be full of or covered with especially something suggestive of bristles <roofs bristled with chimneys> b: to be full of something specified <book bristles with detail and irony — W. J. Broad>,,,,,
broach,verb, transitive verb 1 a: to pierce (as a cask) in order to draw the contents; also : to open for the first time b: to open up or break into (as a mine or stores)2: to shape or enlarge (a hole) with a broach3 a: to make known for the first time b: to open up (a subject) for discussionintransitive verb: to break the surface from below,,,,,
Brobdingnagian,adjective,: marked by tremendous size,,(eponym),,"Brobdingnag, imaginary land of giants in Gulliver's Travels, by Jonathan Swift",
brood,verb,"transitive verb: 1(a): to sit on or incubate (eggs).  (b): to produce by or as if by incubation: hatch.  2:  of a bird: to cover (young) with the wings.  3: to think anxiously or gloomily about: ponder.  intransitive verb: 1(a): of a bird: to brood eggs or young.  (b): to sit quietly and thoughtfully: meditate.  2: hover, loom.  3(a): to dwell gloomily on a subject.  (b): to be in a state of depression.",,,,,
brood,noun,1: the young of an animal or a family of young; especially: the young (as of a bird or insect) hatched or cared for at one time.  2: a group having a common nature or origin.  3: the children of a family.,,,,,
broody,adjective,"1: being in a state of readiness to brood eggs that is characterized by cessation of laying and by marked changes in behavior and physiology <a broody hen>   2: given or conducive to introspection: contemplative, moody.  ",,,,,
brothel,,,,,,,
brouhaha,noun," : hubbub, uproar  ",,,,,
brusque,adjective,1  : markedly short and abrupt   2  : blunt in manner or speech often to the point of ungracious harshness,,,,,
brusquely,adverb,,,,,,
buffer,noun,1: any of various devices or pieces of material for reducing shock or damage due to contact2: a means or device used as a cushion against the shock of fluctuations in business or financial activity3: something that serves as a protective barrier: as a: buffer state b: a person who shields another especially from annoying routine matters c: mediator 1 4: a substance capable in solution of neutralizing both acids and bases and thereby maintaining the original acidity or basicity of the solution; also : a solution containing such a substance5: a temporary storage unit (as in a computer); especially : one that accepts information at one rate and delivers it at another,,,,,
buggery,noun, : sodomy  ,,(salacious),,,
burgeon,verb,1 a: to send forth new growth (as buds or branches) : sprout b: bloom2: to grow and expand rapidly : flourish,,,,,
burgher,noun,  1  : an inhabitant of a borough or a town   2  : a member of the middle class : a prosperous solid citizen  ,,,,,
burnish,verb,1 a: to make shiny or lustrous especially by rubbing b: polish 32: to rub (a material) with a tool for compacting or smoothing or for turning an edge,,,,,
bush league,adjective,: being of an inferior class or group of its kind : marked by a lack of sophistication or professionalism,,,,,
buttress,noun,1: a projecting structure of masonry or wood for supporting or giving stability to a wall or building2: something that resembles a buttress: as a: a projecting part of a mountain or hill b: a horny protuberance on a horse's hoof at the heel — see hoof illustration c: the broadened base of a tree trunk or a thickened vertical part of it 3: something that supports or strengthens <a buttress of the cause of peace>,,,,,
buttress,verb,": to furnish or shore up with a buttress; also : support, strengthen <arguments buttressed by solid facts>",,,,,
cad,noun,1: an omnibus conductor  2: a man who acts with deliberate disregard for another's feelings or rights,,,,,
cadge,noun," : beg, sponge <cadge a free cup of coffee>  ",,,,,
cajole,verb,1 a: to persuade with flattery or gentle urging especially in the face of reluctance : coax <had to cajole them into going> b: to obtain from someone by gentle persuasion <cajoleed money from his parents>2: to deceive with soothing words or false promises,,,,"synonyms cajole, coax, soft-soap, blandish, wheedle mean to influence or persuade by pleasing words or actions. cajole suggests the deliberate use of flattery to persuade in the face of reluctance or reasonable objections <cajoled him into cheating on the final exam>. coax implies gentle and persistent words or actions employed to produce a desired effect <coaxed the cat out of the tree>. soft-soap refers to using smooth and somewhat insincere talk usually for personal gain <politicians soft-soaping eligible voters>. blandish implies a more open desire to win a person over by effusive praise and affectionate actions <legislators blandished with promises of support>. wheedle suggests more strongly than cajole the use of seductive appeal or artful words in persuading <hucksters wheedling her life's savings out of her>.",
callous,,,,,,,
callow,,,,,,,
candelabra,noun,: a branched candlestick or lamp with several lights,,,,,
canon,noun,"1 a: a regulation or dogma decreed by a church council b: a provision of canon law2[Middle English, from Anglo-French, from Late Latin, from Latin, model] : the most solemn and unvarying part of the Mass including the consecration of the bread and wine3[Middle English, from Late Latin, from Latin, standard] a: an authoritative list of books accepted as Holy Scripture b: the authentic works of a writer c: a sanctioned or accepted group or body of related works <the canon of great literature>4 a: an accepted principle or rule b: a criterion or standard of judgment c: a body of principles, rules, standards, or norms5[Late Greek kano-n, from Greek, model] : a contrapuntal musical composition in which each successively entering voice presents the initial theme usually transformed in a strictly consistent way",,(literary),,,
cant,noun,1: affected singsong or whining speech2 a: the private language of the underworld bobsolete : the phraseology peculiar to a religious class or sect c: jargon 23: a set or stock phrase4: the expression or repetition of conventional or trite opinions or sentiments; especially : the insincere use of pious words,,(literary),,,
cantankerous,,,,,,,
canvas,,,,,,,
capitulate,verb,"1: archaic: parley, negotiate.  2(a): to surrender often after negotiation of terms.  (b): to cease resisting: acquiesce",,,,,
caricature,noun,  1  : exaggeration by means of often ludicrous distortion of parts or characteristics   2  : a representation especially in literature or art that has the qualities of caricature   3  : a distortion so gross as to seem like caricature  ,,,,"synonyms caricature, burlesque, parody, travesty mean a comic or grotesque imitation. caricature implies ludicrous exaggeration of the characteristic features of a subject <caricatures of politicians in cartoons>. burlesque implies mockery especially through giving a serious or lofty subject a frivolous treatment <a nightclub burlesque of a trial in court>. parody applies especially to treatment of a trivial or ludicrous subject in the exactly imitated style of a well-known author or work <a witty parody of a popular novel>. travesty implies that the subject remains unchanged but that the style is extravagant or absurd <this production is a travesty of the opera>.",
carte blanche,noun, : full discretionary power <was given carte blanche to furnish the house>  ,,,,,
casbah,,,,,,,
castigate,verb,": to subject to severe punishment, reproof, or criticism",,,,,
casus belli,,,,,,,
cat's-paw,noun,1: light air that ruffles the surface of the water in irregular patches during a calm.  2:  [from the fable of the monkey that used a cat's paw to draw chestnuts from the fire]  : one used by another as a tool : dupe <the…government became the cat's–paw for foreign powers — D. J. Boorstin>,,,,,
catachresis,noun,1: use of the wrong word for the context   2: use of a forced and especially paradoxical figure of speech (such as blind mouths)  ,,(literary),,,
catatonic,,,,,,,
caterwaul,verb,1: to make a harsh cry.   2: to protest or complain noisily.  ,,,,,
caterwaul,noun,,,,,,
catharsis,noun,1: purgation2 a: purification or purgation of the emotions (as pity and fear) primarily through art b: a purification or purgation that brings about spiritual renewal or release from tension3: elimination of a complex by bringing it to consciousness and affording it expression,,,,,
