body,author,topic,authorType,tone,source,notes
Does the store you bought that shirt from have a men's department?,"Colbert, Stephen",,,"funny, insulting",,
"Nothing in the world can take the place of persistence. Talent will not; nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Eduction alone will not; the world is full of educated derelicts. Persistence and determination alone are omnipotent. The slogan ""press on"" has solved and always will solve the problems of the human race.","Coolidge, Calvin",persistence,,,,
I guess that explains the blood pouring from my faucets this morning.,"Crane, Niles",,character,"funny, insult","Frasier, S5 E15",Was Niles response when Frasier said his ex-wife was in town
The bicycle is the most efficient machine for creating human suffering.,Dan,bicycles,,,Radio Lab (Limits),
The length of this conversation is way out of proportion to my interest in it.,Danny (Sports Night),,,,,
Ignorance more frequently begets confidence than does knowledge.,"Darwin, Charles",knowledge,,,,Descent of Man and Selection in Relation to Sex (1871).  Quoted at beginning of Y.
"You're always attracted to someone who doesn't want you, right? Here you have someone who not only doesn't want you, but who doesn't even acknowledge your right to exist, wants your destruction. That's a turn-on.","David, Larry",attraction,,,Curb Your Enthusiasm. S8 E4.,
We are spiritual beings having a human experience.,"de Chardin, Teilhard ",life,,,Yogi tea bag & Soul Pancake,Rainn Wilson cited this guy and quote.
"Only two things are infinite, the universe and human stupidity, and I'm not sure about the former.  ","Einstein, Albert",stupidity,,,,
"Try not to become a man of success, but rather try to become a man of value.  ","Einstein, Albert",success,,,,
Great spirits have always encountered violent opposition from mediocre minds.,"Einstein, Albert",wisdom,,,,
Imagination is more important than knowledge.  ,"Einstein, Albert",imagination,,,,
"The world is a dangerous place to live; not because of the people who are evil, but because of the people who don't do anything about it.  ","Einstein, Albert",apathy,,,,
"Sit next to a pretty girl for an hour, it seems like a minute. Sit on a red-hot stove for a minute, it seems like an hour. That's relativity.  ","Einstein, Albert",relativity,,,,
"Everything is determined, the beginning as well as the end, by forces over which we have no control. It is determined for the insect, as well as for the star. Human beings, vegetables, or cosmic dust, we all dance to a mysterious tune, intoned in the distance by an invisible piper.  ","Einstein, Albert",fate,,,,
"Reading, after a certain age, diverts the mind too much from its creative pursuits. Any man who reads too much and uses his own brain too little falls into lazy habits of thinking.  ","Einstein, Albert",reading,,,,
My religion consists of a humble admiration of the illimitable superior spirit who reveals himself in the slight details we are able to perceive with our frail and feeble mind.  ,"Einstein, Albert",religion,,,,
"A knowledge of the existence of something we cannot penetrate, of the manifestations of the profoundest reason and the most radiant beauty - it is this knowledge and this emotion that constitute the truly religious attitude; in this sense, and in this alone, I am a deeply religious man. ","Einstein, Albert",god,,,,
I do not believe in a personal God and I have never denied this but have expressed it clearly. If something is in me which can be called religious then it is the unbounded admiration for the structure of the world so far as our science can reveal it.,"Einstein, Albert",god,,,,
"I believe in Spinoza's God who reveals himself in the orderly harmony of what exists, not in a God who concerns himself with the fates and actions of human beings. ","Einstein, Albert",god,,,,
"A human being is part of the whole called by us universe, a part limited in time and space. We experience ourselves, our thoughts and feelings as something separate from the rest. A kind of optical delusion of consciousness. This delusion is a kind of prison for us, restricting us to our personal desires and to affection for a few persons nearest to us. Our task must be to free ourselves from the prison by widening our circle of compassion to embrace all living creatures and the whole of nature in its beauty. The true value of a human being is determined by the measure and the sense in which they have obtained liberation from the self. We shall require a substantially new manner of thinking if humanity is to survive. ","Einstein, Albert",humanity,,,,
"The most beautiful and most profound experience is the sensation of the mystical. It is the sower of all true science. He to whom this emotion is a stranger, who can no longer wonder and stand rapt in awe, is as good as dead. To know that what is impenetrable to us really exists, manifesting itself as the highest wisdom and the most radiant beauty which our dull faculties can comprehend only in their primitive forms - this knowledge, this feeling is at the center of true religiousness.","Einstein, Albert",spirituality,,,,
"Hell, I never vote for anybody, I always vote against.","Fields, W.C.",,,,,
A woman drove me to drink and I didn't even have the decency to thank her.,"Fields, W.C.",drinking,,,,
Beer is proof that God loves us and wants us to be happy.,"Franklin, Benjamin",beer,,,,
"If you are trying to decide among a few people to fill a position hire the best writer. it doesn't matter if the person is marketer, salesperson, designer, programmer, or whatever, their writing skills will pay off. That's because being a good writer is about more than writing clear writing. Clear writing is a sign of clear thinking. great writers know how to communicate. they make things easy to understand. they can put themselves in someone else's shoes. they know what to omit. And those are qualities you want in any candidate. Writing is making a comeback all over our society... Writing is today's currency for good ideas.","Fried, Jason","hiring, writing, talent",techy,philosophical,From his book Rework,"I'm a little biased, but I agree. I mean, someone has to hire 'em, right? :-P"
In three words I can sum up everything I've learned about life: it goes on.,"Frost, Robert",life,,,,
"A poem begins with a lump in the throat; a homesickness or a love-sickness. It is a reaching out toward expression, an effort to find fulfillment. A complete poem is one where an emotion has found its thought and the thought has found the word.","Frost, Robert",writing,,,,
If I ever get anal polyps I'll know what to name them.,"Goodman, Saul",annoying people,character,"funny, insulting",,
A lover without indiscretion is no lover at all. Circumspection and devotion are a contradiction in terms.,"Hardy, Thomas",love,,,,per Writer's Almanac
"And many a skeleton shook his head. / ""Instead of preaching forty year,"" / My neighbour Parson Thirdly said, / ""I wish I had stuck to pipes and beer.""","Hardy, Thomas",life,,,,"from the poem ""Channel Firing"""
What are my books but one long plea against man's inhumanity to man?,"Hardy, Thomas",writing,,,,
"One, remember to look up at the stars and not down at your feet. Two, never give up work. Work gives you meaning and purpose and life is empty without it. Three, if you are lucky enough to find love, remember it is there and don't throw it away.","Hawking, Stephen",life,,,,His fatherly advice to kis children
Never mistake motion for action.,"Hemingway, Ernest",work,,,,
There is no friend as loyal as a book.,"Hemingway, Ernest",reading,,,,
"The most essential gift for a good writer is a built-in, shock-proof, shit detector. This is the writer's radar and all great writers have had it.","Hemingway, Ernest",writing,,,,
Baby shoes for sale.  Never used.,"Hemingway, Ernest",,,,,Allegedly a flash fiction piece by Hemingway who said it was his best story
Living well is the best revenge.,"Herbert, George",revenge,,,,
"On the bright side I’m glad she left, cos you know what? It helped my career. Cos I’m driven now. I’m driven by a fantasy that one day this girl who I loved more than anything in the world, and she said she loved me then left, one day she’s gonna be living in a trailer park somewhere in Alabama… living with this ex-welder, 600 pounds, fur all over his back, drinks warm beer, farts, belches, beats the kids, watches The Dukes of Hazzard every fucking night, and has to have it explained to him.  She’s gonna have nine, naked little kids with rickets that bring home dead animals from the side of the road for them to eat at night, burrs in the hair, mud on their face, rats laying babies in their ears at night. One night that welder’s gonna be making love to her, and he’s gonna be on top and suddenly his heart’s gonna explode, and she’s gonna be trapped under 600 pounds of flaccid, fish-belly cellulite, shifting like the tides of the ocean as blood, phlegm and bile pours out of his mouth and nose…. into her face, and just before she drowns in that tepid puddle of afterbirth… she’s gonna turn to The Tonight Show and I’m gonna be on it. So you see, I’m not bitter.","Hicks, Bill",ex's,,,,
There is a condition worse than blindness; and that is seeing something that isn't there.,"Hubbard, L. Ron",blindness,,,,
A book must be the ax for the frozen sea within us.,"Kafka, Franz",reading,,,,
"Most people figure reality is just this, right here. And that's up there and remote, out there somewhere, not what they normally think of as reality. But once you start to really get an appreciation for astronomy, you realize that you are moving through that, that that surrounds you and is you, and you are that. Far from feeling insignificant in the face of this awesome cosmic reality, one feels we are a part of it.","Kamiat, Bruce",reality,,,,In September '11 edition of Eyepiece.  He's an AAA director.
"The note: ""To be killed this way is quite all right with me.""","Kees, Weldon",verse,,,poem: Crime Club,One of Bayley's favorite lines
"I'm writing this book because we're all going to die. In the loneliness of my life, my father dead, my brother dead, my mother far away, my sister and my wife far away, nothing here but my own tragic hands that once were guarded by a world, a sweet attention, that now are left to guide and disappear their own way into the common dark of all our death, sleeping in me raw bed, alone and stupid...","Kerouac, Jack",life,,,Visions of Cody,"The inspiration behind the phrase ""the common dark bed of all our death."""
"What is that feeling when you're driving away from people and they recede on the plane till you see their specks dispersing? - it's the too-huge world vaulting us, and it's good-bye. But we lean forward to the next crazy venture beneath the skies.","Kerouac, Jack",leaving,,,On the Road,
"The only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn, like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes ""Awww!”","Kerouac, Jack",life,,,On the Road,
I'm 39.  Please don't make me go to Brooklyn.,"Lemon, Liz
",,,,,
"Penny: Leonard, you are so great.  Why can't all guys be like you?  Leonard: Because if all guys were like me the human race couldn't survive.",Leonard,men,,,Big Bang Theory,
The only place success comes before work is in the dictionary.,"Lombardi, Vince",work,,,,
This guy isn't a bar fly. He's a bar hornet,"Maginnis, Kevin",drunkenness,,,,
You're not the tenth man.  You're a machine for turning beer into piss.,"Maher, Bill",sports,,,"""Be More Cynical"" stand up",
"You do realize you are represented by cash whores.  And, please, when I say that, I mean no disrespect to actual whores.","Maher, Bill",politicians,,,"""Be More Cynical"" stand up",
"We're so obsessed with children.  What ever happened to people?  You know, the veterans of childhood.","Maher, Bill",adulthood,,,"""Be More Cynical"" stand up",
I'd like to thank god for making me an atheist.,"Maher, Bill",,,,,
At least I don't use my looks as social currency.,Me,beauty,,,,
We split the personality so you don't have to.,Me,,,,,Roadtrip to Kentucky.  Said in advertising voice about Mr. Bare's hybrid Arby's sandwich.
People just want to be herd.,Me,conformity,,,,
Live like your life depends on it.,Me,life,,,,
"When I talk to you, you make me feel like a contestant on The <insert name>'s Right.",Me,,,,,Price Is Right.  Get it?
People of quality know everything without having learned anything.,Moliere,wisdom,,,,from Widget
Never help a child with a task at which he feels he can succeed.,"Montessori, Maria",education,,,,
Establishing lasting peace is the work of education; all politics can do is keep us out of war.,"Montessori, Maria",education,,,,
I would never lie. I willfully participated in a campaign of misinformation.,"Mulder, Fox",lying,,,"X-Files (Season X, Episode X)",
"It is strange that the tactile sense, which is so infinitely less precious to men than sight, becomes at critical moments our main, if not only, handle to reality.","Nabokov, Vladimir",touch,,,Humbert Humbert in Lolita,
"No one is saying you broke any laws, Mr. President. We're just saying it's a little bit weird that you didn't have to.","Oliver, John",,,,,In John Oliver's first day as Daily Show anchor responding to Obama's conference re: NSA spying scandal.
"With stilted, stodgy intonations that seem to descend from the late-19th century era of one-room schoolhouses, McCain laboriously reading a speech is a painful spectacle.","Paglia, Camille",McCain,,,,
"I realized by using the high notes of the chords as a melodic line, and by the right harmonic progression, I could play what I heard inside me. That's when I was born.","Parker, Charlie",music,,,,
"A computer once beat me at chess, but it was no match for me at kick boxing. ","Phillips, Emo",computers,,,,
Painting is not made to decorate apartments. It's an offensive and defensive weapon against the enemy.,"Picasso, Pablo",art,,,,"It's worth noting that ""Guernica,"" the painting that depicts the suffering in the city of Guernica, the capitol of Basque Spain, after a German bombardment in 1937 during the Spanish Civil War was exhibited in Paris, but then sent to New York.  Picasso refused to allow it to be shown in Spain until the rule of General Franco ended."
"A new scientific truth does not triumph by convincing its opponents and making them see the light, but rather because its opponents eventually die, and a new generation grows up that is familiar with it","Planck, Max",truth,,,,
"Everything in life is writable about if you have the outgoing guts to do it, and the imagination to improvise.","Plath, Sylvia",writing,,,,
To doubt everything or to believe everything are two equally convenient solutions; both dispense with the necessity of thinking/reflection.,"Poincare, Henri",thinking,,,,
Cinema should make you forget you are sitting in a theater.,"Polanski, Roman",film,,,,
"I--a number of years ago--I heard a young father, a very prominent young man in the entertainment world, addressing a tremendous gathering in California.  It was during the time of the cold war, and communism and our own way of life were very much on people's minds, and he was speaking to that subject.  And suddenly though, I heard him saying, 'I love my little girls more than anything.'  and I said to myself, Oh no. Don't.  You can't.  Don't say that.  But I had underestimated him.  He went on, 'I would rather see my little girls die now, still believing in god, than have them grow up under communism and one day die no longer believing in god.","Regan, Ronald",religion,,,,from his famous 'evil empire speech' in 1983 (heard on sof episode Exploring a New Humanism at 30:41).  It scares the bejesus out of me.  And what the man says is lauded by Regan and the audience.  Sheesh!!!
"But, truly, I have wept too much! The Dawns are heartbreaking. Every moon is atrocious and every sun bitter.","Rimbaud, Arthur",sadness,,,,
"A poet must subject himself to ""long, intimidating, immense and rational derangement of all the senses,"" as well as ""every form of love, of suffering, of madness.","Rimbaud, Arthur",writing,,,,William Burroughs cites this in his philosophy of cut-ups
Genius is the recovery of childhood at will.,"Rimbaud, Arthur",genius,,,,
The time you enjoy wasting is not wasted time.,"Russell, Bertrand",time,,,,
"In order to create an apple pie from scratch, you must first create the universe.","Sagan, Carl",creation,scientist,,,
"    Some people think God is an outsized, light-skinned male with a long white beard, sitting on a throne somewhere up there in the sky, busily tallying the fall of every sparrow. Others—for example Baruch Spinoza and Albert Einstein—considered God to be essentially the sum total of the physical laws which describe the universe. I do not know of any compelling evidence for anthropomorphic patriarchs controlling human destiny from some hidden celestial vantage point, but it would be madness to deny the existence of physical laws.","Sagan, Carl",god,,,,
"    The idea that God is an oversized white male with a flowing beard who sits in the sky and tallies the fall of every sparrow is ludicrous. But if by God one means the set of physical laws that govern the universe, then clearly there is such a God. This God is emotionally unsatisfying... it does not make much sense to pray to the law of gravity.""","Sagan, Carl",god,,,,
"From this distant vantage point, the Earth might not seem of particular interest. But for us, it's different. Consider again that dot. That's here, that's home, that's us. On it everyone you love, everyone you know, everyone you ever heard of, every human being who ever was, lived out their lives. The aggregate of our joy and suffering, thousands of confident religions, ideologies, and economic doctrines, every hunter and forager, every hero and coward, every creator and destroyer of civilization, every king and peasant, every young couple in love, every mother and father, hopeful child, inventor and explorer, every teacher of morals, every corrupt politician, every ""superstar,"" every ""supreme leader,"" every saint and sinner in the history of our species lived there – on a mote of dust suspended in a sunbeam.      The Earth is a very small stage in a vast cosmic arena. Think of the rivers of blood spilled by all those generals and emperors so that, in glory and triumph, they could become the momentary masters of a fraction of a dot. Think of the endless cruelties visited by the inhabitants of one corner of this pixel on the scarcely distinguishable inhabitants of some other corner, how frequent their misunderstandings, how eager they are to kill one another, how fervent their hatreds.     Our posturings, our imagined self-importance, the delusion that we have some privileged position in the Universe, are challenged by this point of pale light. Our planet is a lonely speck in the great enveloping cosmic dark. In our obscurity, in all this vastness, there is no hint that help will come from elsewhere to save us from ourselves.     The Earth is the only world known so far to harbor life. There is nowhere else, at least in the near future, to which our species could migrate. Visit, yes. Settle, not yet. Like it or not, for the moment the Earth is where we make our stand.     It has been said that astronomy is a humbling and character-building experience. There is perhaps no better demonstration of the folly of human conceits than this distant image of our tiny world. To me, it underscores our responsibility to deal more kindly with one another, and to preserve and cherish the pale blue dot, the only home we've ever known.","Sagan, Carl",humanity,scientist,"reflective, philosophical, humanist",Pale Blue Dot,
"The significance of our lives and our fragile planet is then determined only by our own wisdom and courage. WE are the custodians of life's meaning. We long for a Parent to care for us, to forgive us our errors, to save us from our childish mistakes. But knowledge is preferable to ignorance. Better by far to embrace the hard truth than a reassuring fable. If we crave some cosmic purpose, then let us find ourselves a worthy goal.","Sagan, Carl","meaning, meaning of life, knowledge, religion, humanism",,,Pale Blue Dot. End of chapter 4,"A good counterpoint to those who feel without purpose, without a Designer, life loses its meaning. Or even those who say science strips life of its meaning, renders us and our activities insignificant."
We are a way for the cosmos to know itself.,"Sagan, Carl","universe, life",,philosophical,,
Hell is other people.,"Satre, Jean-Paul",people,Philosopher,,,
To keep secrets from my computer.,"Schrut, Dwight",diaries,,,"Season 5, ep. 19",Michael asked Dwight why he keeps a work diary
It's a miracle I've lasted this long without having destroyed someone.,"Sendek, Maurice",people,,,,On Colbert report 1-24-12
Youth is a wonderful thing. What a crime to waste it on children,"Shaw, George Bernard",youth,,,,
Dancing is a perpendicular expression of a horizontal desire.,"Shaw, George Bernard",dancing,,,,
"I learned long ago, never to wrestle with a pig. You get dirty, and besides, the pig likes it.","Shaw, George Bernard",fighting,,,,
Leonard: Men do things for women without expecting sex.  Sheldon: Those would be men who just had sex.,Sheldon,sex,,,Big Bang Theory,
"New York, New York...if you can make it here, you can make it anywhere.","Sinatra, Frank",NYC,,,,
The unexamined life is not worth living.,Socrates,life,,,,
It was pride that changed angels into devils; it is humility that makes men as angels.,St. Augustine,humility,,,,
"“The more we got to meet people [in the media], it was—‘Oh! You’re fucking retarded! You don’t care!’ The pettiness of it, the strange lack of passion for any kind of moral or editorial authority, always struck me as weird. We felt like, we’re serious people doing an unserious thing, and they’re unserious people doing ...a very serious thing.”","Stewart, Jon",media,,,New York magazine article  http://nymag.com/arts/tv/profiles/68086/,"Talking about the Daily Show's trip to Philly and LA for the DNC, the seminal years of the Daily Show"
It's like eating a a cow with a rye bread yamaka. ,"Stewart, Jon","NYC, food",comedian,,,"Said in a bit about Bloomburg trying to ban drinks bigger than 16 oz. He used the deli sandwiches heaping with meat as an example of many of the unhealthy things you can get in NYC. May 31, 2012 episode."
"Life is a gamble, at terrible odds — if it was a bet you wouldn't take it.","Stoppard, Tom",life,,,,
It is worse to be irresolute than to be wrong.,"Strunk Jr., William",writing,,,,"This quote is about writing.  I read a couple forums that debated the seeming failed logic this quote exhibits.  But I think he was merely talking about writing, since he was a grammarian and all.  At least, it makes the most sense in that context."
May you live all the days of your life.,"Swift, Jonathan",life,,,,This would make a good toast.
"I hold a beast, an angel and a madman in me, and my enquiry is as to their working, and my problem is their subjugation and victory, downthrow and upheaval, and my effort is their self-expression.","Thomas, Dylan",writing,,,,
An alcoholic is someone you don't like who drinks as much as you do.,"Thomas, Dylan",alcoholism,,,,
All that is gold does not glitter; not all those that wander are lost.,"Tolkien, J.R.R.",redemption,,,,
"I wish life was not so short. Languages take such a time, and so do all the things one wants to know about.","Tolkien, J.R.R.",life,,,,
"The trouble with the rat race is that even if you win, you're still a rat.","Tomlin, Lily",work,,,,
I have found out that there ain't no surer way to find out whether you like people or hate them than to travel with them.,"Twain, Mark",travel,,,,
Suppose you were an idiot. And suppose you were a member of Congress. But I repeat myself.,"Twain, Mark",Congress,,,,
Some German words are so long that they have perspective,"Twain, Mark",German language,,,,
"What a wee little part of a person’s life are his acts and his words! His real life is led in his head, and is known to none but himself. . . . His acts and his words are merely the visible thin crust of his world . . . and they are so trifling a part of his bulk! a mere skin enveloping it. The mass of him is hidden — it and its volcanic fires that toss and boil, and never rest, night nor day. These are his life, and they are not written, and cannot be written. . . . Biographies are but the clothes and buttons of the man — the biography of the man himself cannot be written.","Twain, Mark",writing,,,Autobiography,
"The odds are good, but the goods are odd.",Unknown,Aussie men,,,,"An Australian mining town has a shortage of available women, so the mayor offered a solution: recruit ugly women to live there. He told a newspaper the city should attract ""beauty-disadvantaged women."" The mayor says his comments were ""twisted"" after women responded furiously. One local woman says local men are more numerous, but not so great. ""We've got a saying,"" she said, ""that the odds are good, but the goods are odd."""
"Style is knowing who you are, what to say, and not giving a damn.","Vidal, Gore",style,,,,
Teaching has ruined more American novelists than drink.,"Vidal, Gore",teaching,,,,
When Hemingway killed himself he put a period at the end of his life.  Old age is more like a semicolon.,"Vonnegut, Kurt",aging,,,,"referenced in great article in NYT about a guy, semi-colons, and mta placards"
Never saw my home town until I stayed away too long.,"Waits, Tom",home,,,,
"I'm so goddamned horny, the crack of dawn better be careful 'round me.","Waits, Tom",being horny,,,,
"Maybe you whistled it, but you lost the sheet music.","Waits, Tom",weddings,,,,"said this in reference to the Bride's marching song in weddings, which he was twiddling out on the piano"
I'd rather have a bottle in front of me than a frontal lebotomy,"Waits, Tom",drinking,,,,He read it in a bathroom stall (American Routes interview 12-16-09)
I don't have a drinking a problem except when I can't drink.,"Waits, Tom",drinking,,,,
Jews don't have hell.  We have acid reflux.,"Wallowitz, Howard",Jews,,,Big Bang Theory,
Change before you have to.,"Welch, Jack",change,,,,
I think that God in creating Man somewhat overestimated his ability.,"Wilde, Oscar",god,,,,
The only thing to do with good advice is pass it on. It is never any use to oneself.,"Wilde, Oscar",wisdom,,,,
I can resist anything but temptation.,"Wilde, Oscar",self-discipline,,,,
Nothing but my genius.,"Wilde, Oscar",wit and grit,,,,What he said when asked if he had anything to declare at Customs in NYC
Some cause happiness wherever they go; others whenever they go. ,"Wilde, Oscar",charm,,,,
"I like persons better than principles, and I like persons with no principles better than anything else in the world. ","Wilde, Oscar",principles,,,,
Work is the curse of the drinking classes.,"Wilde, Oscar",work,,,,
"You can't be a real country unless you have a beer and an airline. It helps if you have some kind of a football team, or some nuclear weapons, but at the very least you need a beer.","Zappa, Frank",beer,,,,
The only thing Brazilians get mad at is their pubic hair.,"Colbert, Stephen",Brazilians,,,Colbert Report 6/27/13,
